Name	Description	LP1_G1	LP2_G1	LP3_G1	LP4_G2	LP5_G2	LP6_G2
TSPAN6	tetraspanin 6	1928.51553296528	1876.5467995364	2063.97617435334	2096.06899206468	1783.19441562196	1845.71338308072
TNMD	tenomodulin	10.2399054847714	22.3525143450167	16.8350422051659	1.80929563406533	1.67751120942799	0
DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	1126.38960332486	854.71757233564	994.389826251798	759.904166307438	775.848934360448	782.544806806161
SCYL3	SCY1 like pseudokinase 3	238.931127978	212.881089000159	181.818455815792	268.680401658701	230.657791296349	260.848268935387
C1orf112	chromosome 1 open reading frame 112	658.767252853628	592.873832865444	661.055990589513	233.399136794427	157.686053686232	247.664601913382
FGR	FGR proto-oncogene, Src family tyrosine kinase	3.41330182825714	2.12881089000159	1.12233614701106	10.855773804392	5.87128923299798	5.65014300943076
CFH	complement factor H	1.13776727608571	3.19321633500239	0	0	0	0
FUCA2	alpha-L-fucosidase 2	1736.2328633068	1593.41495116619	1674.5255313405	1059.34259374525	1083.67224129048	1037.74293273212
GCLC	glutamate-cysteine ligase catalytic subunit	1297.05469473771	1119.75452814084	1193.04332427276	908.266408300795	861.402006041275	825.862569878463
NFYA	nuclear transcription factor Y subunit alpha	1282.2637201486	1400.75756562105	1506.17510928884	1885.28605069607	1604.53947181788	1481.27915897243
STPG1	sperm tail PG-rich repeat containing 1	323.125906408343	325.708066170244	320.988138045163	374.524196251523	413.506513124001	367.259295613
NIPAL3	NIPA like domain containing 3	358.396691967	367.219878525275	384.961298424793	588.021081071232	567.837544391376	528.288371381777
